scenario_id,level,bn_fault_var,bn_fault_state,bfm_var,bfm_fault_state,belief,plausibility,width,empty_set_mass,rank_by_belief,rank_by_plausibility,bfm_rank
15,L4_combined_incompleteness,F_battery,exhausted,Batt,exh,1.0,1.0,0.0,0.0,1.0,1.0,
15,L4_combined_incompleteness,F_sw_1,detached,SW1,det,0.03,0.03,0.0,0.0,2.0,3.0,
15,L4_combined_incompleteness,F_sw_2,detached,SW2,det,0.03,0.03,0.0,0.0,3.0,4.0,
15,L4_combined_incompleteness,F_sw_3,detached,SW3,det,0.03,0.03,0.0,0.0,4.0,5.0,
15,L4_combined_incompleteness,F_sw_4,detached,SW4,det,0.03,0.03,0.0,0.0,5.0,6.0,
15,L4_combined_incompleteness,F_sw_5,detached,SW5,det,0.03,0.03,0.0,0.0,6.0,7.0,
15,L4_combined_incompleteness,F_sw_6,detached,SW6,det,0.03,0.03,0.0,0.0,7.0,8.0,
15,L4_combined_incompleteness,F_sw_7,detached,SW7,det,0.03,0.03,0.0,0.0,8.0,9.0,
15,L4_combined_incompleteness,F_sw_8,detached,SW8,det,0.03,0.03,0.0,0.0,9.0,10.0,
15,L4_combined_incompleteness,F_cable_1,broken,C1,bro,0.02,0.02,0.0,0.0,10.0,11.0,
15,L4_combined_incompleteness,F_cable_2,broken,C2,bro,0.02,0.02,0.0,0.0,11.0,12.0,
15,L4_combined_incompleteness,F_cable_3,broken,C3,bro,0.02,0.02,0.0,0.0,12.0,13.0,
15,L4_combined_incompleteness,F_cable_4,broken,C4,bro,0.02,0.02,0.0,0.0,13.0,14.0,
15,L4_combined_incompleteness,F_cable_5,broken,C5,bro,0.02,0.02,0.0,0.0,14.0,15.0,
15,L4_combined_incompleteness,F_cable_6,broken,C6,bro,0.02,0.02,0.0,0.0,15.0,16.0,
15,L4_combined_incompleteness,F_cable_7,broken,C7,bro,0.02,0.02,0.0,0.0,16.0,17.0,
15,L4_combined_incompleteness,F_cable_8,broken,C8,bro,0.02,0.02,0.0,0.0,17.0,18.0,
15,L4_combined_incompleteness,F_cable_load,broken,CL,bro,0.02,0.02,0.0,0.0,18.0,19.0,
15,L4_combined_incompleteness,F_lamp,broken,LF,bro,0.015,0.015,0.0,0.0,19.0,20.0,
15,L4_combined_incompleteness,F_PSU_short,yes,PSF,yes,0.0,1.0,1.0,0.0,20.0,2.0,
16,L4_combined_incompleteness,F_lamp,broken,LF,bro,0.015,0.015,0.0,0.0846,1.0,18.0,
16,L4_combined_incompleteness,F_sw_3,detached,SW3,det,0.0,1.0,1.0,0.0846,2.0,1.0,
16,L4_combined_incompleteness,F_sw_4,detached,SW4,det,0.0,1.0,1.0,0.0846,3.0,2.0,
16,L4_combined_incompleteness,F_sw_5,detached,SW5,det,0.0,1.0,1.0,0.0846,4.0,3.0,
16,L4_combined_incompleteness,F_sw_6,detached,SW6,det,0.0,1.0,1.0,0.0846,5.0,4.0,
16,L4_combined_incompleteness,F_sw_7,detached,SW7,det,0.0,1.0,1.0,0.0846,6.0,5.0,
16,L4_combined_incompleteness,F_sw_8,detached,SW8,det,0.0,1.0,1.0,0.0846,7.0,6.0,
16,L4_combined_incompleteness,F_cable_3,broken,C3,bro,0.0,1.0,1.0,0.0846,8.0,7.0,
16,L4_combined_incompleteness,F_cable_4,broken,C4,bro,0.0,1.0,1.0,0.0846,9.0,8.0,
16,L4_combined_incompleteness,F_cable_5,broken,C5,bro,0.0,1.0,1.0,0.0846,10.0,9.0,
16,L4_combined_incompleteness,F_cable_6,broken,C6,bro,0.0,1.0,1.0,0.0846,11.0,10.0,
16,L4_combined_incompleteness,F_cable_7,broken,C7,bro,0.0,1.0,1.0,0.0846,12.0,11.0,
16,L4_combined_incompleteness,F_cable_8,broken,C8,bro,0.0,1.0,1.0,0.0846,13.0,12.0,
16,L4_combined_incompleteness,F_cable_load,broken,CL,bro,0.0,1.0,1.0,0.0846,14.0,13.0,
16,L4_combined_incompleteness,F_sw_2,detached,SW2,det,0.0,0.2,0.2,0.0846,15.0,14.0,
16,L4_combined_incompleteness,F_cable_2,broken,C2,bro,0.0,0.2,0.2,0.0846,16.0,15.0,
16,L4_combined_incompleteness,F_sw_1,detached,SW1,det,0.0,0.04,0.04,0.0846,17.0,16.0,
