scenario_id,level,bn_fault_var,bn_fault_state,bfm_var,bfm_fault_state,belief,plausibility,width,empty_set_mass,rank_by_belief,rank_by_plausibility
7,L2_fault_family_prior_ignorance,F_battery,exhausted,Batt,exh,1.0,1.0,0,0.0,1,1
7,L2_fault_family_prior_ignorance,F_sw_1,detached,SW1,det,0.03,0.03,0,0.0,2,2
7,L2_fault_family_prior_ignorance,F_sw_2,detached,SW2,det,0.03,0.03,0,0.0,3,3
7,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0.03,0.03,0,0.0,4,4
7,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0.0,5,5
7,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0.0,6,6
7,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0.03,0.03,0,0.0,7,7
7,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0.0,8,8
7,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0.0,9,9
7,L2_fault_family_prior_ignorance,F_cable_1,broken,C1,bro,0.02,0.02,0,0.0,10,10
8,L2_fault_family_prior_ignorance,F_lamp,broken,LF,bro,0.015,0.015,0,0.0846,1,14
8,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0.0,1.0,1,0.0846,2,1
8,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0.0,1.0,1,0.0846,3,2
8,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0.0,1.0,1,0.0846,4,3
8,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0.0,1.0,1,0.0846,5,4
8,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0.0,1.0,1,0.0846,6,5
8,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0.0,1.0,1,0.0846,7,6
8,L2_fault_family_prior_ignorance,F_cable_3,broken,C3,bro,0.0,1.0,1,0.0846,8,7
8,L2_fault_family_prior_ignorance,F_cable_4,broken,C4,bro,0.0,1.0,1,0.0846,9,8
8,L2_fault_family_prior_ignorance,F_cable_5,broken,C5,bro,0.0,1.0,1,0.0846,10,9
11,L2_fault_family_prior_ignorance,F_lamp,broken,LF,bro,0.015,0.015,0,0.08435,1,18
11,L2_fault_family_prior_ignorance,F_PSU_short,yes,PSF,yes,0.00027,0.00027,0,0.08435,2,19
11,L2_fault_family_prior_ignorance,F_sw_1,detached,SW1,det,0.0,1.0,1,0.08435,3,1
11,L2_fault_family_prior_ignorance,F_sw_2,detached,SW2,det,0.0,1.0,1,0.08435,4,2
11,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0.0,1.0,1,0.08435,5,3
11,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0.0,1.0,1,0.08435,6,4
11,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0.0,1.0,1,0.08435,7,5
11,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0.0,1.0,1,0.08435,8,6
11,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0.0,1.0,1,0.08435,9,7
11,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0.0,1.0,1,0.08435,10,8
14,L2_fault_family_prior_ignorance,F_PSU_short,yes,PSF,yes,1.0,1.0,0,0.0,1,1
14,L2_fault_family_prior_ignorance,F_battery,exhausted,Batt,exh,1.0,1.0,0,0.0,2,2
14,L2_fault_family_prior_ignorance,F_sw_1,detached,SW1,det,0.03,0.03,0,0.0,3,3
14,L2_fault_family_prior_ignorance,F_sw_2,detached,SW2,det,0.03,0.03,0,0.0,4,4
14,L2_fault_family_prior_ignorance,F_sw_3,detached,SW3,det,0.03,0.03,0,0.0,5,5
14,L2_fault_family_prior_ignorance,F_sw_4,detached,SW4,det,0.03,0.03,0,0.0,6,6
14,L2_fault_family_prior_ignorance,F_sw_5,detached,SW5,det,0.03,0.03,0,0.0,7,7
14,L2_fault_family_prior_ignorance,F_sw_6,detached,SW6,det,0.03,0.03,0,0.0,8,8
14,L2_fault_family_prior_ignorance,F_sw_7,detached,SW7,det,0.03,0.03,0,0.0,9,9
14,L2_fault_family_prior_ignorance,F_sw_8,detached,SW8,det,0.03,0.03,0,0.0,10,10
