scenario_id,level,bn_fault_var,bn_fault_state,bfm_var,bfm_fault_state,belief,plausibility,width,empty_set_mass,bfm_rank
7,L0_complete,F_battery,exhausted,Batt,exh,1,1,0,0.9204,1
7,L0_complete,F_sw_1,detached,SW1,det,0.03,0.03,0,0.9204,2
7,L0_complete,F_sw_2,detached,SW2,det,0.03,0.03,0,0.9204,3
7,L0_complete,F_sw_3,detached,SW3,det,0.03,0.03,0,0.9204,4
7,L0_complete,F_sw_4,detached,SW4,det,0.03,0.03,0,0.9204,5
7,L0_complete,F_sw_5,detached,SW5,det,0.03,0.03,0,0.9204,6
7,L0_complete,F_sw_6,detached,SW6,det,0.03,0.03,0,0.9204,7
7,L0_complete,F_sw_7,detached,SW7,det,0.03,0.03,0,0.9204,8
7,L0_complete,F_sw_8,detached,SW8,det,0.03,0.03,0,0.9204,9
7,L0_complete,F_cable_1,broken,C1,bro,0.02,0.02,0,0.9204,10
7,L0_complete,F_cable_2,broken,C2,bro,0.02,0.02,0,0.9204,11
7,L0_complete,F_cable_3,broken,C3,bro,0.02,0.02,0,0.9204,12
7,L0_complete,F_cable_4,broken,C4,bro,0.02,0.02,0,0.9204,13
7,L0_complete,F_cable_5,broken,C5,bro,0.02,0.02,0,0.9204,14
7,L0_complete,F_cable_6,broken,C6,bro,0.02,0.02,0,0.9204,15
7,L0_complete,F_cable_7,broken,C7,bro,0.02,0.02,0,0.9204,16
7,L0_complete,F_cable_8,broken,C8,bro,0.02,0.02,0,0.9204,17
7,L0_complete,F_cable_load,broken,CL,bro,0.02,0.02,0,0.9204,18
7,L0_complete,F_lamp,broken,LF,bro,0.015,0.015,0,0.9204,19
7,L0_complete,F_PSU_short,yes,PSF,yes,0,0,0,0.9204,20
8,L0_complete,F_sw_3,detached,SW3,det,0.60729,0.60729,0,0.95914,1
8,L0_complete,F_cable_3,broken,C3,bro,0.40486,0.40486,0,0.95914,2
8,L0_complete,F_sw_4,detached,SW4,det,0.03,0.03,0,0.95914,3
8,L0_complete,F_sw_5,detached,SW5,det,0.03,0.03,0,0.95914,4
8,L0_complete,F_sw_6,detached,SW6,det,0.03,0.03,0,0.95914,5
8,L0_complete,F_sw_7,detached,SW7,det,0.03,0.03,0,0.95914,6
8,L0_complete,F_sw_8,detached,SW8,det,0.03,0.03,0,0.95914,7
8,L0_complete,F_cable_4,broken,C4,bro,0.02,0.02,0,0.95914,8
8,L0_complete,F_cable_5,broken,C5,bro,0.02,0.02,0,0.95914,9
8,L0_complete,F_cable_6,broken,C6,bro,0.02,0.02,0,0.95914,10
8,L0_complete,F_cable_7,broken,C7,bro,0.02,0.02,0,0.95914,11
8,L0_complete,F_cable_8,broken,C8,bro,0.02,0.02,0,0.95914,12
8,L0_complete,F_cable_load,broken,CL,bro,0.02,0.02,0,0.95914,13
8,L0_complete,F_lamp,broken,LF,bro,0.015,0.015,0,0.95914,14
8,L0_complete,F_PSU_short,yes,PSF,yes,0,0,0,0.95914,15
8,L0_complete,F_battery,exhausted,Batt,exh,0,0,0,0.95914,16
8,L0_complete,F_sw_1,detached,SW1,det,0,0,0,0.95914,17
8,L0_complete,F_sw_2,detached,SW2,det,0,0,0,0.95914,18
8,L0_complete,F_cable_1,broken,C1,bro,0,0,0,0.95914,19
8,L0_complete,F_cable_2,broken,C2,bro,0,0,0,0.95914,20
11,L0_complete,F_sw_1,detached,SW1,det,0.08652,0.08652,0,0.68251,1
11,L0_complete,F_sw_2,detached,SW2,det,0.08652,0.08652,0,0.68251,2
11,L0_complete,F_sw_3,detached,SW3,det,0.08652,0.08652,0,0.68251,3
11,L0_complete,F_sw_4,detached,SW4,det,0.08652,0.08652,0,0.68251,4
11,L0_complete,F_sw_5,detached,SW5,det,0.08652,0.08652,0,0.68251,5
11,L0_complete,F_sw_6,detached,SW6,det,0.08652,0.08652,0,0.68251,6
11,L0_complete,F_sw_7,detached,SW7,det,0.08652,0.08652,0,0.68251,7
11,L0_complete,F_sw_8,detached,SW8,det,0.08652,0.08652,0,0.68251,8
11,L0_complete,F_cable_1,broken,C1,bro,0.05768,0.05768,0,0.68251,9
11,L0_complete,F_cable_2,broken,C2,bro,0.05768,0.05768,0,0.68251,10
11,L0_complete,F_cable_3,broken,C3,bro,0.05768,0.05768,0,0.68251,11
11,L0_complete,F_cable_4,broken,C4,bro,0.05768,0.05768,0,0.68251,12
11,L0_complete,F_cable_5,broken,C5,bro,0.05768,0.05768,0,0.68251,13
11,L0_complete,F_cable_6,broken,C6,bro,0.05768,0.05768,0,0.68251,14
11,L0_complete,F_cable_7,broken,C7,bro,0.05768,0.05768,0,0.68251,15
11,L0_complete,F_cable_8,broken,C8,bro,0.05768,0.05768,0,0.68251,16
11,L0_complete,F_cable_load,broken,CL,bro,0.05768,0.05768,0,0.68251,17
11,L0_complete,F_lamp,broken,LF,bro,0.015,0.015,0,0.68251,18
11,L0_complete,F_PSU_short,yes,PSF,yes,0.00079,0.00079,0,0.68251,19
11,L0_complete,F_battery,exhausted,Batt,exh,0,0,0,0.68251,20
14,L0_complete,F_PSU_short,yes,PSF,yes,1,1,0,0.99525,1
14,L0_complete,F_battery,exhausted,Batt,exh,1,1,0,0.99525,2
14,L0_complete,F_sw_1,detached,SW1,det,0.03,0.03,0,0.99525,3
